snv,qtd_2007,qtd_2008,qtd_2009,qtd_2010,qtd_2011,qtd_2012
010BMA0350,1,1,NULL,NULL,NULL,1
010BMA0370,14,17,30,24,33,21
010BMA0390,31,38,39,54,42,33
010BMA0400,22,20,18,24,25,32
010BMA0410,25,18,21,27,18,34
010BMA0420,21,10,14,8,14,20
010BMA0430,196,182,160,202,291,275
010BMA0450,123,161,140,136,189,208
010BMA0460,30,27,29,30,29,41
010BMA0470,34,37,29,40,42,43
010BPA0490,39,38,23,32,40,36
010BPA0510,77,56,41,39,44,43
010BPA0530,46,32,21,24,29,24
010BPA0550,23,3,9,9,17,5
010BPA0570,70,52,59,56,74,51
010BPA0590,14,20,22,21,34,12
010BPA0610,7,9,6,5,5,10
010BPA0630,5,3,2,1,2,5
010BPA0650,10,6,8,5,13,12
010BPA0670,31,27,33,28,40,37
010BPA0690,2,2,2,3,4,4
010BPA0710,NULL,NULL,NULL,1,NULL,NULL
020BBA0220,9,8,7,8,9,4
020BBA0225,9,5,11,8,8,8
020BBA0230,15,27,20,11,14,14
020BBA0235,8,7,13,5,5,NULL
020BBA0240,43,28,43,32,28,45
020BCE0510,116,118,175,229,228,214
020BCE0520,NULL,2,1,1,2,2
020BCE0530,1,1,1,3,2,2
020BCE0540,6,6,4,8,8,4
020BCE0550,12,12,7,26,17,12
020BCE0560,18,32,15,35,32,22
020BCE0570,5,9,6,15,1,4
020BCE0580,7,5,7,9,4,3
020BCE0590,27,22,28,38,23,25
020BCE0600,21,23,20,32,42,29
020BCE0610,5,8,9,6,11,5
020BCE0630,10,8,8,17,8,11
020BCE0640,11,10,14,16,13,13
020BCE0650,67,48,83,87,105,91
020BCE0660,1,NULL,1,1,NULL,1
020BCE9010,43,62,74,100,104,146
020BDF0050,2,5,17,7,4,5
020BDF0051,3,1,3,5,5,1
020BDF0052,5,9,17,8,14,12
020BDF0053,12,11,13,26,42,38
020BDF0054,8,4,3,10,11,16
020BDF0060,11,9,13,21,24,28
020BDF0070,1,3,7,2,3,2
020BGO0090,8,14,29,22,27,23
020BGO0110,39,51,55,57,75,87
020BGO0120,9,13,19,11,15,20
020BGO0130,32,50,53,64,77,73
020BGO0150,23,33,20,23,26,27
020BGO0160,27,20,21,34,29,35
020BGO0170,51,36,55,65,44,61
020BGO0190,17,13,20,25,15,25
020BGO0195,19,27,22,52,34,39
020BGO0200,11,14,17,22,28,19
020BGO0210,10,13,16,19,35,25
020BPI0370,6,NULL,NULL,NULL,NULL,NULL
020BPI0375,4,NULL,NULL,NULL,NULL,NULL
020BPI0380,NULL,NULL,NULL,NULL,1,NULL
020BPI0415,NULL,NULL,1,NULL,NULL,NULL
020BPI0495,NULL,5,3,9,10,6
020BPI9010,1,NULL,NULL,NULL,NULL,NULL
030BBA0225,NULL,NULL,NULL,NULL,1,NULL
030BBA0242,NULL,1,NULL,NULL,NULL,NULL
030BBA0250,NULL,NULL,NULL,1,NULL,NULL
030BBA0252,NULL,NULL,NULL,1,NULL,1
030BBA0254,NULL,1,NULL,NULL,NULL,NULL
030BBA0414,NULL,NULL,NULL,NULL,NULL,1
030BBA0430,NULL,NULL,NULL,NULL,1,NULL
030BBA0450,NULL,NULL,NULL,NULL,4,NULL
040BDF0010,90,102,136,156,146,109
040BDF0012,58,77,109,102,106,103
040BDF0015,6,9,10,12,5,5
040BDF0017,47,46,56,65,56,77
040BDF0020,NULL,NULL,NULL,1,1,1
040BGO0030,572,491,619,867,849,622
040BGO0050,113,91,107,147,137,167
040BGO0070,44,41,44,47,53,57
040BMG0090,65,67,62,84,103,105
040BMG0093,59,68,63,67,81,66
040BMG0097,11,22,29,32,32,29
040BMG0100,24,18,30,17,12,28
040BMG0110,18,25,13,21,16,19
040BMG0120,17,36,35,23,30,26
040BMG0130,65,75,66,79,97,69
040BMG0150,72,86,97,70,69,56
040BMG0170,130,95,90,113,110,138
040BMG0190,41,19,28,35,58,57
040BMG0195,24,20,25,43,36,34
040BMG0200,36,30,24,32,33,29
040BMG0210,25,36,10,8,16,19
040BMG0217,46,56,45,29,29,59
040BMG0230,19,11,33,19,26,18
040BMG0250,146,152,127,109,97,98
040BMG0266,9,22,22,14,13,13
040BMG0270,157,162,198,259,205,228
040BMG0290,18,24,25,24,30,22
040BMG0330,307,309,356,489,507,413
040BMG0350,343,386,390,539,652,572
040BMG0360,326,348,379,384,438,390
040BMG0370,44,59,67,60,85,86
040BMG0390,1,1,NULL,NULL,1,NULL
040BMG0400,274,281,307,336,339,363
040BMG0410,264,295,407,355,329,296
040BMG0430,114,117,125,154,169,154
040BMG0450,59,67,52,89,97,105
040BMG0457,27,28,29,43,40,30
040BMG0470,117,136,155,192,172,160
040BMG0490,252,264,256,338,346,343
040BMG0510,184,195,209,241,220,235
040BMG0520,10,15,14,16,17,15
040BMG0530,130,134,122,167,130,86
040BMG0550,131,149,144,189,183,106
040BMG0565,89,132,127,133,115,118
040BMG0570,124,196,185,177,215,208
040BMG0580,24,41,48,47,49,73
040BMG0590,19,28,62,44,53,40
040BMG0595,28,27,40,32,47,57
040BMG0600,64,34,43,54,51,60
040BMG0610,29,22,19,22,23,19
040BMG0630,40,29,29,25,37,30
040BMG0650,117,82,119,104,111,97
040BRJ0670,31,44,51,64,82,73
040BRJ0690,10,7,8,9,7,13
040BRJ0730,2,3,1,3,2,NULL
040BRJ0770,72,92,82,102,110,85
040BRJ0790,37,48,42,48,58,54
040BRJ0810,33,50,56,40,39,69
040BRJ0830,11,14,9,13,7,9
040BRJ0850,16,9,17,15,9,12
040BRJ0870,186,194,187,234,282,321
040BRJ0890,157,172,154,188,234,200
040BRJ0910,325,326,300,420,473,452
040BRJ0930,145,160,140,161,181,203
040BRJ0950,128,201,188,269,344,359
040BRJ0970,162,189,225,261,264,265
040BRJ0990,564,607,567,917,996,832
040BRJ0995,15,25,20,30,38,19
040BRJ9510,9,9,12,7,5,7
040BRJ9530,21,31,30,33,32,25
040BRJ9550,6,7,10,13,19,11
040BRJ9570,84,127,122,137,157,140
040BRJ9590,11,10,9,10,19,9
050BGO0070,20,23,27,33,27,33
050BGO0075,11,8,14,13,17,8
050BGO0080,2,1,3,2,2,4
050BGO0090,15,22,22,12,22,10
050BGO0095,9,12,11,7,5,5
050BGO0110,22,37,42,36,30,28
050BGO0120,4,4,2,4,6,3
050BGO0130,26,25,28,18,29,24
050BGO0135,13,15,23,13,17,25
050BGO0140,9,13,15,9,7,4
050BGO0150,45,33,48,43,73,58
050BGO0152,48,73,54,72,57,57
050BGO0154,9,8,17,10,7,4
050BMG0170,40,35,30,34,43,64
050BMG0190,58,74,66,60,67,80
050BMG0210,172,187,211,220,234,212
050BMG0240,140,170,171,253,264,289
050BMG0250,179,189,196,225,234,239
050BMG0260,133,131,126,141,144,167
050BMG0265,69,71,56,61,71,69
050BMG0270,43,55,59,68,81,84
050BMG0285,21,22,23,26,23,30
060BDF0010,28,17,33,27,29,43
060BDF0011,24,20,18,27,37,43
060BDF0012,57,46,54,37,80,57
060BDF0014,24,25,31,20,20,25
060BDF0030,38,25,24,30,30,29
060BDF0050,24,16,18,26,25,33
060BDF0070,9,7,20,18,9,9
060BGO0092,80,97,96,138,126,89
